iter	Passed	Remaining
0	15	15373
1	23	11854
2	34	11379
3	43	10888
4	52	10535
5	61	10232
6	70	9983
7	79	9844
8	88	9715
9	96	9600
10	104	9402
11	114	9412
12	121	9257
13	130	9215
14	138	9113
15	147	9077
16	155	8987
17	164	8965
18	172	8899
19	181	8878
20	188	8780
21	196	8751
22	204	8683
23	212	8659
24	220	8606
25	229	8580
26	236	8511
27	245	8517
28	253	8482
29	262	8477
30	271	8478
31	281	8521
32	289	8476
33	297	8450
34	305	8418
35	314	8408
36	322	8388
37	330	8356
38	337	8306
39	344	8277
40	351	8228
41	360	8213
42	367	8188
43	376	8183
44	384	8151
45	392	8145
46	399	8108
47	408	8100
48	416	8077
49	424	8070
50	431	8034
51	439	8010
52	446	7981
53	454	7957
54	461	7937
55	469	7907
56	478	7909
57	484	7876
58	493	7876
59	501	7853
60	509	7843
61	516	7814
62	524	7806
63	531	7779
64	540	7771
65	547	7753
66	556	7747
67	564	7732
68	574	7748
69	581	7729
70	590	7726
71	597	7702
72	606	7695
73	613	7674
74	621	7662
75	628	7640
76	636	7631
77	643	7605
78	650	7585
79	658	7571
80	665	7555
81	674	7554
82	681	7532
83	689	7521
84	696	7500
85	704	7491
86	712	7472
87	720	7464
88	727	7447
89	735	7440
90	743	7423
91	751	7416
92	758	7399
93	767	7394
94	775	7386
95	783	7374
96	791	7364
97	798	7346
98	805	7334
99	814	7326
100	822	7318
101	829	7306
102	837	7296
103	845	7285
104	853	7274
105	861	7261
106	870	7261
107	878	7253
108	886	7246
109	894	7235
110	902	7228
111	912	7234
112	921	7231
113	929	7224
114	938	7225
115	946	7215
116	956	7220
117	964	7211
118	973	7209
119	981	7201
120	989	7190
121	998	7185
122	1006	7173
123	1015	7174
124	1023	7161
125	1031	7153
126	1039	7148
127	1049	7150
128	1056	7136
129	1066	7137
130	1073	7122
131	1081	7113
132	1090	7105
133	1097	7095
134	1105	7085
135	1115	7085
136	1123	7079
137	1133	7079
138	1141	7068
139	1150	7066
140	1157	7054
141	1167	7056
142	1175	7045
143	1184	7042
144	1193	7040
145	1203	7042
146	1213	7044
147	1221	7034
148	1230	7028
149	1239	7025
150	1249	7027
151	1257	7014
152	1267	7014
153	1274	7000
154	1283	6996
155	1293	6998
156	1302	6995
157	1311	6989
158	1318	6974
159	1326	6965
160	1334	6954
161	1342	6946
162	1350	6934
163	1359	6929
164	1366	6917
165	1375	6909
166	1383	6903
167	1392	6897
168	1401	6890
169	1409	6881
170	1416	6869
171	1424	6859
172	1432	6847
173	1440	6837
174	1447	6826
175	1455	6814
176	1464	6807
177	1471	6794
178	1479	6784
179	1486	6772
180	1494	6762
181	1501	6749
182	1510	6742
183	1517	6728
184	1525	6720
185	1532	6706
186	1540	6699
187	1549	6694
188	1564	6711
189	1576	6721
190	1586	6721
191	1606	6761
192	1616	6759
193	1629	6768
194	1643	6786
195	1658	6802
196	1667	6795
197	1678	6796
198	1686	6789
199	1698	6794
200	1708	6789
201	1717	6783
202	1729	6790
203	1740	6789
204	1748	6781
205	1759	6782
206	1767	6772
207	1776	6766
208	1786	6760
209	1793	6745
210	1800	6734
211	1808	6724
212	1817	6716
213	1826	6710
214	1835	6703
215	1844	6696
216	1855	6696
217	1864	6686
